PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 17,2012,1,Kept,CHINOOK SALMON,124,31,15.62
Area 17,2012,1,Released,CHINOOK SALMON,124,55,30.02
Area 18,2012,1,Kept,CHINOOK SALMON,124,46,18.65
Area 18,2012,1,Released,CHINOOK SALMON,124,106,45.48
Area 19 (JDF),2012,1,Kept,CHINOOK SALMON,124,328,94.53
Area 19 (JDF),2012,1,Released,CHINOOK SALMON,124,636,254.42
Area 20 (East),2012,1,Kept,CHINOOK SALMON,124,205,81.17
Area 20 (East),2012,1,Released,CHINOOK SALMON,124,212,118.61
Area 17,2012,2,Kept,CHINOOK SALMON,124,56,35.42
Area 17,2012,2,Released,CHINOOK SALMON,124,105,48.35
Area 18,2012,2,Kept,CHINOOK SALMON,124,48,23.47
Area 18,2012,2,Released,CHINOOK SALMON,124,131,58.56
Area 19 (GS),2012,2,Kept,CHINOOK SALMON,124,6,10.64
Area 19 (GS),2012,2,Released,CHINOOK SALMON,124,6,7.93
Area 19 (JDF),2012,2,Kept,CHINOOK SALMON,124,258,57.07
Area 19 (JDF),2012,2,Released,CHINOOK SALMON,124,433,101.12
Area 20 (East),2012,2,Kept,CHINOOK SALMON,124,377,89.43
Area 20 (East),2012,2,Released,CHINOOK SALMON,124,591,166.66
Area 28,2012,2,Kept,CHINOOK SALMON,124,0,0.00
Area 28,2012,2,Released,CHINOOK SALMON,124,46,41.71
Area 29,2012,2,Kept,CHINOOK SALMON,124,0,0.00
Area 29,2012,2,Released,CHINOOK SALMON,124,16,10.02
Area 17,2012,3,Kept,CHINOOK SALMON,124,0,0.00
Area 17,2012,3,Released,CHINOOK SALMON,124,42,32.87
Area 18,2012,3,Kept,CHINOOK SALMON,124,82,32.55
Area 18,2012,3,Released,CHINOOK SALMON,124,184,109.64
Area 19 (GS),2012,3,Kept,CHINOOK SALMON,124,17,15.69
Area 19 (GS),2012,3,Released,CHINOOK SALMON,124,31,33.47
Area 19 (JDF),2012,3,Kept,CHINOOK SALMON,124,111,57.36
Area 19 (JDF),2012,3,Released,CHINOOK SALMON,124,93,52.06
Area 20 (East),2012,3,Kept,CHINOOK SALMON,124,275,130.91
Area 20 (East),2012,3,Released,CHINOOK SALMON,124,274,132.90
Area 28,2012,3,Kept,CHINOOK SALMON,124,8,4.24
Area 28,2012,3,Released,CHINOOK SALMON,124,63,35.48
Area 29,2012,3,Kept,CHINOOK SALMON,124,2,2.10
Area 29,2012,3,Released,CHINOOK SALMON,124,39,31.09
Area 19 (GS),2012,4,Kept,CHINOOK SALMON,124,4,5.30
Area 19 (GS),2012,4,Released,CHINOOK SALMON,124,8,10.61
Area 19 (JDF),2012,4,Kept,CHINOOK SALMON,124,165,51.10
Area 19 (JDF),2012,4,Released,CHINOOK SALMON,124,104,43.76
Area 20 (East),2012,4,Kept,CHINOOK SALMON,124,444,121.81
Area 20 (East),2012,4,Released,CHINOOK SALMON,124,70,48.34
Area 13,2012,5,Kept,CHINOOK SALMON,124,102,34.18
Area 13,2012,5,Released,CHINOOK SALMON,124,30,18.33
Area 14,2012,5,Kept,CHINOOK SALMON,124,177,70.44
Area 14,2012,5,Released,CHINOOK SALMON,124,127,56.22
Area 15,2012,5,Kept,CHINOOK SALMON,124,38,19.28
Area 15,2012,5,Released,CHINOOK SALMON,124,33,19.11
Area 16,2012,5,Kept,CHINOOK SALMON,124,51,18.69
Area 16,2012,5,Released,CHINOOK SALMON,124,25,10.63
Area 17,2012,5,Kept,CHINOOK SALMON,124,854,261.52
Area 17,2012,5,Released,CHINOOK SALMON,124,521,390.44
Area 18,2012,5,Kept,CHINOOK SALMON,124,21,8.39
Area 18,2012,5,Released,CHINOOK SALMON,124,8,4.49
Area 19 (GS),2012,5,Kept,CHINOOK SALMON,124,1,0.88
