ESTIMATE_SOURCE,PROGRAM,LOGISTICAL_AREA,PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR,LINK,Include (20),Include (15)
Creel,Georgia Strait,Nanaimo,Area 17,2012,1,Kept,CHINOOK SALMON,124,31,15.62,Creel-2012-1-Area 17,N,N
Creel,Georgia Strait,Nanaimo,Area 17,2012,1,Released,CHINOOK SALMON,124,55,30.02,Creel-2012-1-Area 17,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2012,1,Kept,CHINOOK SALMON,124,46,18.65,Creel-2012-1-Area 18,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2012,1,Released,CHINOOK SALMON,124,106,45.48,Creel-2012-1-Area 18,N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,1,Kept,CHINOOK SALMON,124,328,94.53,Creel-2012-1-Area 19 (JDF),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,1,Released,CHINOOK SALMON,124,636,254.42,Creel-2012-1-Area 19 (JDF),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,1,Kept,CHINOOK SALMON,124,205,81.17,Creel-2012-1-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,1,Released,CHINOOK SALMON,124,212,118.61,Creel-2012-1-Area 20 (East),N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,1,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-1-Area 28,N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,1,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-1-Area 28,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,1,Kept,CHINOOK SALMON,124,0,0.00,Creel-2012-1-Area 29,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,1,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-1-Area 29,N,N
Creel,Georgia Strait,Nanaimo,Area 17,2012,2,Kept,CHINOOK SALMON,124,56,35.42,Creel-2012-2-Area 17,N,N
