LOGISTICAL_AREA,YEAR,MONTH,AREA,METHOD,ITEM,ADIPOSE_MODIFIER,DISPOSITION,RETAINABLE,ITEM_GROUP,ESTIMATE,VARIANCE
Haida Gwaii,2012,7,Area 1,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,333.53,110910.95
Haida Gwaii,2012,7,Area 1,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2031.16,1490103.49
Haida Gwaii,2012,7,Area 1,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,367.13,67310.21
Haida Gwaii,2012,7,Area 1,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,343.23,117122.65
Haida Gwaii,2012,7,Area 1,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,391.02,152118.18
Haida Gwaii,2012,7,Area 101,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,391.02,152118.18
Haida Gwaii,2012,7,Area 101,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,586.54,342265.91
Prince Rupert,2012,7,Area 103,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,171.62,29280.66
Central Coast,2012,7,Area 107,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1520.25,2302038.56
Port Hardy,2012,7,Area 11,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1618.22,966310.45
Port Hardy,2012,7,Area 11,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,686.47,468490.62
Port Hardy,2012,7,Area 12,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,391.02,75746.09
Port Hardy,2012,7,Area 12,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3709.04,2581723.13
Port Hardy,2012,7,Area 12,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,391.02,152118.18
Port Hardy,2012,7,Area 12,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,8999.33,29011683.91
Port Hardy,2012,7,Area 12,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,195.51,38029.55
Port Renfrew,2012,7,Area 121,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,316.55,99567.93
Port Renfrew,2012,7,Area 121,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,646.37,239949.14
Barkley,2012,7,Area 123,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,640.95,409533.36
Barkley,2012,7,Area 123,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,4271.65,3344260.88
Barkley,2012,7,Area 123,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2432.45,5894943.02
Barkley,2012,7,Area 123,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1227.49,751799.27
Barkley,2012,7,Area 123,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,1837.75,1189608.9
Tofino,2012,7,Area 124,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,640.95,409533.36
Tofino,2012,7,Area 124,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,2563.79,6552533.79
Tofino,2012,7,Area 124,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2952.55,4263473.01
Tofino,2012,7,Area 124,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,3204.74,10238334.04
Tofino,2012,7,Area 124,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,5690.89,23444482.54
Tofino,2012,7,Area 124,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,3289.26,7619973.35
Tofino,2012,7,Area 124,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,2903.25,3019773.11
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,158.27,24891.98
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3442.14,3230632.24
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2569.6,5638725.83
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1273,658012.34
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,805.77,323720.99
Tahsis/Nootka,2012,7,Area 125,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,804.71,427552.4
Kyuquot,2012,7,Area 126,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,540.55,291108.3
Kyuquot,2012,7,Area 126,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,411.65,88837.5
Kyuquot,2012,7,Area 126,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,7284.47,48293263.34
Kyuquot,2012,7,Area 126,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,2601.46,2504895.8
Kyuquot,2012,7,Area 126,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,1274.04,807805.1
Winter Harbour,2012,7,Area 127,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,353.79,62921.53
Winter Harbour,2012,7,Area 127,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,586.54,342265.91
Winter Harbour,2012,7,Area 127,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1564.1,1288309.53
Winter Harbour,2012,7,Area 127,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,3519.22,7357386.75
Campbell River,2012,7,Area 13,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,583.5,339305.25
Campbell River,2012,7,Area 13,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1298.04,594889.43
Campbell River,2012,7,Area 13,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4487.41,12272323.76
Campbell River,2012,7,Area 14,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1564.1,1135565.35
Campbell River,2012,7,Area 14,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,195.51,38029.55
Campbell River,2012,7,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,977.56,492506.09
Sunshine Coast,2012,7,Area 15,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,320.47,102383.34
Sunshine Coast,2012,7,Area 15,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,640.95,409533.36
Sunshine Coast,2012,7,Area 16,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,320.47,102383.34
Nanaimo,2012,7,Area 17,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.51,38029.55
Nanaimo,2012,7,Area 17,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,195.51,38029.55
Nanaimo,2012,7,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1547.96,1263715.97
Nanaimo,2012,7,Area 17,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,195.51,38029.55
Nanaimo,2012,7,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,320.47,102383.34
Victoria,2012,7,Area 19,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,391.02,75746.09
Victoria,2012,7,Area 19,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,586.54,342265.91
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,316.55,99567.93
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,5539.55,30492679.75
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1960.51,1276295.71
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,6805.73,46025277.44
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,782.05,608472.72
Haida Gwaii,2012,7,Area 2,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,586.54,342265.91
Victoria,2012,7,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,977.56,263389.81
Victoria,2012,7,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,4521.47,3221684.19
Victoria,2012,7,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1173.07,681714.81
Victoria,2012,7,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1102.52,328995.61
Victoria,2012,7,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,391.02,152118.18
Port Renfrew,2012,7,Area 21,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,782.05,608472.72
Port Renfrew,2012,7,Area 21,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,391.02,152118.18
Port Renfrew,2012,7,Area 21,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,586.54,342265.91
Port Renfrew,2012,7,Area 21,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,391.02,152118.18
Port Renfrew,2012,7,Area 21,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,195.51,38029.55
Barkley,2012,7,Area 23,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1115.58,719383.67
Barkley,2012,7,Area 23,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,782.05,608472.72
Barkley,2012,7,Area 23,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2186.64,1477598.47
Barkley,2012,7,Area 23,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1796.75,1901659.42
Barkley,2012,7,Area 23,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,171.62,29280.66
Barkley,2012,7,Area 23,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,320.47,102383.34
Barkley,2012,7,Area 23,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,343.23,117122.65
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,586.54,342265.91
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,195.51,38029.55
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,7613.76,4891050.84
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2558.04,1766470.66
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2223.69,2319395.32
Tahsis/Nootka,2012,7,Area 25,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1277.97,1021018
Kyuquot,2012,7,Area 26,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.51,38029.55
Kyuquot,2012,7,Area 26,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1542.17,1183982.36
Kyuquot,2012,7,Area 26,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,782.05,608472.72
Winter Harbour,2012,7,Area 27,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,253.38,63945.52
Winter Harbour,2012,7,Area 27,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,391.02,152118.18
Vancouver,2012,7,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,195.51,38029.55
Vancouver,2012,7,Area 29,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.51,38029.55
Vancouver,2012,7,Area 29,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.51,38029.55
Vancouver,2012,7,Area 29,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,586.54,189521.73
Prince Rupert,2012,7,Area 3,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,2272.89,1581157.56
Prince Rupert,2012,7,Area 4,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2006.93,1371002.65
Prince Rupert,2012,7,Area 4,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,320.47,102383.34
Central Coast,2012,7,Area 5,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,435.33,188644.44
Central Coast,2012,7,Area 6,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,391.02,152118.18
Central Coast,2012,7,Area 6,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,195.51,38029.55
Central Coast,2012,7,Area 7,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,253.38,63945.52
Central Coast,2012,7,Area 8,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1281.9,1638133.45
Central Coast,2012,7,Area 8,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,320.47,102383.34
Central Coast,2012,7,Area 9,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,291.75,84826.31
Haida Gwaii,2012,8,Area 1,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1198.45,631172.35
Haida Gwaii,2012,8,Area 1,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,363.23,130486.03
